1814,2368,3400,1986
2220,2487,3377,1908
2215,2674,3306,1842
928,2836,3171,1834
1586,2967,2993,1879
2460,3081,2781,1960
2571,3193,2528,2073
2144,3305,2263,2210
1724,3397,2023,2373
2108,3437,1881,2557
2211,3409,1816,2744
1524,3311,1818,2921
2523,3151,1870,3076
1945,2932,1963,3220
2070,2482,2179,3421
1887,2424,2193,3440
1824,2149,2377,3516
2395,1971,2557,3533
2286,1878,2731,3482
2637,1851,2861,3366
2016,1871,2947,3198
1755,1941,3061,2965
1945,2037,3161,2686
2081,2166,3277,2379
2074,2304,3353,2132
1716,2478,3368,1965
2572,2651,3314,1889
2466,2830,3192,1860
1950,2996,3013,1890
2589,3150,2770,1957
1726,3270,2530,2050
2540,3383,2258,2171
1425,3475,2012,2321
2440,3511,1873,2489
2690,3486,1800,2659
2503,3398,1775,2822
1729,3251,1799,2956
1845,3068,1865,3058
2246,2834,1960,3150
1759,2573,2076,3253
2509,2295,2211,3360
2582,2058,2370,3429
2387,1925,2560,3431
2100,1861,2748,3362
1727,1856,2912,3241
1981,1904,3071,3059
2326,1986,3213,2829
1713,2097,3338,2563
2248,2229,3431,2277
2308,2386,3468,2047
2243,2565,3438,1919
1764,2741,3346,1862
1975,2890,3205,1860
2290,2997,3024,1913
2436,3084,2804,2000
2432,3167,2555,2119
2472,3264,2288,2259
2773,3368,2047,2425
1886,3425,1906,2606
2526,3404,1844,2789
2643,3310,1842,2963
2320,3154,1893,3117
2591,2947,1985,3256
2394,2700,2100,3377
2419,2424,2241,3484
2643,2152,2403,3564
2199,1973,2580,3585
2511,1884,2747,3530
2192,1853,2887,3409
2455,1871,2994,3230
2352,1940,3071,3004
2019,2034,3154,2740
1901,2151,3254,2452
2082,2289,3356,2174
2097,2448,3395,1995
2081,2624,3352,1901
2250,2802,3238,1866
1539,2971,3066,1880
2435,3124,2849,1942
2517,3259,2598,2038
2091,3379,2328,2153
1864,3480,2072,2295
1650,3541,1903,2458
2589,3536,1810,2632
2232,3462,1777,2796
1972,3331,1780,2942
2582,3155,1830,3057
1975,2934,1918,3145
2264,2671,2027,3234
1878,2406,2162,3332
1790,2140,2318,3425
1840,1972,2495,3456
1810,1890,2679,3414
2054,1859,2857,3308
2223,1881,3020,3145
2093,1951,3166,2933
2041,2049,3296,2685
2119,2172,3407,2407
2097,2322,3483,2139
2293,2491,3487,1966
2390,2666,3422,1877
2397,2826,3301,1848
2568,2954,3132,1871
2634,3048,2927,1941
2116,3123,2693,2043
1966,3207,2435,2167
1080,3303,2168,2319
1852,3398,1970,2489
1691,3431,1859,2669
2103,3384,1817,2847
1899,3266,1828,3013
1501,3089,1883,3162
2363,2866,1980,3295
2415,2607,2098,3411
2016,2325,2242,3513
2147,2076,2406,3586
2003,1923,2583,3596
2797,1847,2750,3535
2535,1824,2889,3399
2095,1849,2996,3209
2192,1920,3075,2973
1966,2016,3156,2704
2286,2133,3256,2411
2257,2273,3360,2141
1671,2431,3404,1970
1735,2606,3368,1878
1639,2784,3258,1844
2002,2954,3088,1858
1170,3108,2872,1917
1268,3246,2622,2006
1525,3367,2351,2118
1987,3471,2089,2254
1795,3541,1907,2407
2114,3552,1800,2578
1994,3493,1754,2750
1916,3377,1745,2905
1909,3211,1770,3039
1629,3003,1839,3144
2021,2758,1933,3242
1264,2488,2051,3342
1218,2207,2187,3436
2249,2001,2347,3481
1939,1886,2527,3461
2023,1833,2711,3375
1524,1834,2886,3233
1378,1885,3047,3039
2121,1968,3190,2804
2358,2075,3315,2536
2628,2205,3411,2252
2360,2355,3452,2025
2001,2528,3430,1895
1903,2704,3349,1832
2399,2861,3218,1821
2002,2984,3044,1859
2453,3083,2836,1933
2507,3177,2598,2034
2567,3274,2340,2161
2929,3377,2084,2304
1865,3446,1905,2470
2219,3447,1811,2651
1908,3376,1784,2832
2444,3240,1807,3000
2281,3054,1874,3150
1503,2821,1971,3283
1763,2557,2092,3401
1849,2276,2236,3499
1657,2040,2396,3560
1783,1899,2577,3559
1243,1827,2748,3490
1206,1807,2891,3358
2077,1836,3000,3169
1610,1901,3099,2930
1651,1997,3202,2655
2070,2113,3313,2362
2013,2247,3394,2102
2030,2408,3412,1941
1869,2586,3361,1853
1919,2767,3249,1819
2083,2939,3079,1834
1815,3094,2861,1891
2145,3233,2606,1979
2731,3354,2333,2095
2657,3453,2075,2228
2393,3514,1895,2380
2307,3518,1790,2556
2677,3463,1740,2734
2233,3352,1732,2895
2540,3185,1769,3027
2391,2968,1843,3142
3108,2716,1946,3251
2493,2442,2067,3357
2485,2169,2208,3443
2134,1972,2374,3480
2175,1861,2560,3460
2229,1807,2744,3378
2174,1801,2916,3237
2378,1846,3073,3033
1765,1926,3211,2782
1820,2026,3324,2502
1882,2162,3399,2217
2248,2318,3422,2004
2401,2498,3396,1879
2281,2681,3317,1817
2093,2851,3190,1808
1991,2974,3013,1844
1870,3089,2793,1922
2329,3197,2545,2030
1867,3307,2283,2157
2258,3400,2037,2308
1484,3462,1876,2483
1880,3456,1791,2669
2175,3381,1763,2851
1699,3237,1791,3016
2390,3034,1860,3165
2248,2786,1962,3296
2571,2512,2088,3410
2552,2233,2236,3501
2369,2013,2408,3548
2664,1879,2598,3541
2448,1812,2767,3470
2208,1801,2905,3330
2198,1837,3022,3126
2488,1910,3136,2870
1789,2011,3263,2585
1760,2131,3357,2292
2039,2277,3414,2054
1980,2449,3416,1910
2063,2635,3353,1833
2340,2816,3228,1810
2234,2985,3041,1839
2209,3135,2802,1911
1882,3268,2535,2014
1427,3383,2259,2137
1680,3473,2020,2285
2302,3517,1868,2457
2521,3504,1784,2643
1865,3430,1751,2816
1191,3295,1764,2960
1950,3098,1822,3084
2354,2854,1917,3194
2257,2582,2034,3304
1946,2300,2174,3406
2106,2060,2342,3473
2404,1916,2530,3488
2060,1840,2720,3437
2175,1823,2896,3315
2090,1854,3056,3125
2178,1929,3197,2879
1741,2032,3318,2599
2276,2157,3403,2309
2032,2309,3444,2065
1884,2488,3432,1917
1913,2674,3367,1838
2391,2838,3249,1813
2585,2970,3074,1841
2257,3083,2853,1915
2043,3191,2601,2019
1793,3299,2332,2147
2335,3402,2077,2300
2390,3464,1908,2478
1997,3463,1818,2668
2168,3394,1789,2850
2106,3248,1817,3016
1429,3042,1887,3165
1942,2791,1992,3300
1357,2514,2120,3412
1650,2231,2272,3497
1283,2016,2450,3547
1602,1891,2637,3535
2095,1829,2802,3460
1364,1824,2930,3312
1733,1865,3040,3104
2344,1943,3152,2853
1908,2047,3268,2568
1999,2171,3364,2275
2387,2321,3409,2045
2383,2496,3394,1913
1991,2681,3317,1845
1782,2859,3182,1829
1581,3022,2987,1864
1748,3170,2746,1942
1791,3298,2474,2047
1995,3402,2202,2175
1761,3469,1982,2326
